Overall rank,Country or region,Continent,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
8,New Zealand,Oceania,7.307,1.303,1.557,1.026,0.585,0.33,0.38
11,Australia,Oceania,7.228,1.372,1.548,1.036,0.557,0.332,0.29
